Text Type,Text Index,1 English (영어),2 Korean (한국어),3 French (프랑스어),4 German (독일어),5 Spanish (스페인어),6 Italian (이탈리아어),7 Danish (덴마크어),8 Japanese (일본어),9 Chinese_Traditional (중국어-번체),10 Chinese_Simplified (중국어-간체),11 Polish (폴란드어),
DLG_SelectControlParemeter,339,Select Control Parameter,컨트롤 파라미터 선택,Choisissez paramètre de contrôle,Wählen Sie Steuerungsparameter,Elija parámetro de control,Scegli parametro di controllo,Vælg kontrolparameter,制御パラメータの選択,選擇控制參數,选择控制参数,Wybierz parametr kontrolny,
DLG_Search,340,Search,검색,Chercher,Suche,Buscar,Cercare,Søg,サーチ,搜索,搜索,Szukaj,
DLG_SelectMeshGroupToLink,341,Select Mesh Group to Link,연결을 위한 메시 그룹 선택,Choisissez groupe de maillages,Wählen Sie die Netzgruppe,Elija grupo de malla,Seleziona gruppo di maglie,Vælg Mesh Group til Link,メッシュグループの選択,選擇要連接的網格劃分組,选择要连接的网格划分组,Wybierz grupę siatki,
DLG_SetTexture,342,Set Texture,텍스쳐 선택,Sélectionnez,Textur Wählen,Set textura,Selezionare,Indstil tekstur,テクスチャを設定する,設置紋理,设置纹理,Ustaw teksturę,
DLG_Set,343,Set,선택,Set,Set,Set,Set,Sæt,選択,設置,设置,Wybierz,
DLG_SelectImage,344,Select Image,이미지 선택,Choisissez image,Bild auswählen,Seleccionar imagen,Seleziona immagine,Vælg billede,画像を選択,選擇圖像,选择图像,Wybierz obraz,
DLG_DemoVersion,345,Demo Version,데모 버전,Version de démo,Demoversion,Versión de demo,Versione demo,Demo Version,デモ版,演示版本,演示版本,Wersja demo,
DLG_CheckLimitations,346,Check Limitations,기능 제한,Vérifier les limites,Überprüfen Einschränkungen,Comprobar Limitaciones,Controlla i limiti,Kontroller begrænsninger,機能制限,檢查限制,检查限制,Sprawdź ograniczenia,
DLG_StartPage_Hompage,347,Homepage,홈페이지,Homepage,Startseite,Sitio oficial,Homepage,Hjemmeside,ホームページ,主頁,主页,Strona główna,
DLG_StartPage_AlawysOn,348,Show this Screen at startup,시작할 때마다 항상 보임,Afficher cet écran au démarrage,Zeigen Sie dies beim Start an,Mostrar esta pantalla al inicio,Mostra questa schermata all'avvio,Vis denne skærm i starten,起動時にこの画面を表示する,在啟動時顯示此屏幕,在启动时显示此屏幕,Pokaż to przy starcie,
DLG_ModLockSettings,349,Modifier Lock Settings,모디파이어 잠금 설정,Paramètres de verrouillage,Einstellungen für die Sperre,Configuraciones de bloqueo,Impostazioni blocco del modificatore,Indstillinger for modifikatorlås,モディファイアロックの設定,修改器鎖定設置,修改器锁定设置,Ustawienia blokady modyfikatora,
DLG_ModLockMode,350,Lock Mode,잠금 상태,Verrouiller,Gesperrter,Bloquear,Bloccato,Låst,ロックモード,鎖定,锁定,Zablokowany,
DLG_ModUnlockMode,351,Unlock Mode,잠금 해제 상태,Déverrouiller,Entsperrter,Descubrir,Sbloccato,Ulåst,ロック解除モード,解鎖,解锁,Odblokowany,
DLG_ModLockDescription,352,Other than the selected Modifier[]will not be executed.,선택되지 않은 모디파이어는 실행되지 않습니다.,Autre que le modificateur sélectionné[]ne sera pas exécuté.,Ein anderer als der ausgewählte Modifikator[]wird nicht ausgeführt.,Aparte del modificador seleccionado []no se ejecutará.,Oltre al modificatore selezionato[]non verrà eseguito.,Bortset fra den valgte Modifier[]vil ikke blive udført.,選択された修飾子[]以外は実行されません。,除了選定的修飾符不會被執行。,除了选定的修饰符不会被执行。,Inny niż wybrany modyfikator[]nie zostanie wykonany.,
DLG_ModUnlockDescription,353,Except Modifiers which are of the same type[]or can not be edited at the same time[c][]others are executed.,동일하거나 동시에 편집이 불가능하지 않은 모든 모디파이어들을 실행합니다.,À l'exception des Modificateurs qui sont du même[]type ou ne peuvent pas être édités en[]même temps[c] d'autres sont exécutés.,Außer Modifikatoren[c] die vom selben Typ sind[]oder nicht gleichzeitig editiert werden können[c][]werden andere ausgeführt.,Con la excepción de los modificadores que son del mismo tipo[]o no se pueden editar al mismo tiempo[c][]se ejecutan otros.,Tranne i Modificatori che sono[]dello stesso tipo o non possono essere modificati[]contemporaneamente[c] altri vengono eseguiti.,Bortset fra modifikatorer[c] der er af samme type[]eller ikke kan redigeres samtidig[c][]udføres andre.,同じタイプのものか[c][]同時に編集できないものを除き[c][]他は実行されます。,除相同類型的[]修飾符或不能同時編輯的修飾符外[c][]其他修飾符將被執行。,除相同类型的[]修饰符或不能同时编辑的修饰符外[c][]其他修饰符将被执行。,Z wyjątkiem Modyfikatorów[c] które są tego samego typu[]lub nie mogą być edytowane w tym samym czasie[c][]inne są wykonywane.,
DLG_ModLockCalculateUnregisteredObj,354,Calculating transformations[]of unregistered objects,모디파이어에 등록되지 않은[]객체들을 계산하기,Calcul des transformations d'objets[]non enregistrés,Berechnung von Transformationen[]nicht registrierter Objekte,Cálculo de transformaciones[]de objetos no grabados,Calcola le trasformazioni[]degli oggetti non registrati,Beregn transformationer[]af uregistrerede objekter,未登録のオブジェクトの[]変換を計算する,計算未註冊對象的轉換,计算未注册对象的转换,Obliczanie transformacji[]niezarejestrowanych obiektów,
DLG_ModLockRenderCalculatedColors,355,Render Calculated Colors,계산된 색상 렌더링,Rendu des couleurs calculées,Rendern Sie berechnete Farben,Renderizar colores calculados,Rendering di colori calcolati,Render Beregnede Farver,計算された色,渲染計算的顏色,渲染计算的颜色,Renderuj obliczone kolory,
DLG_ModLockPreviewCalculatedBones,356,Preview Calculated Bones,계산된 본 미리보기,Aperçu des os calculés,Vorschau berechnete Knochen,Vista previa Huesos calculados,Anteprima delle ossa calcolate,Forhåndsvisning Beregnede Knogler,計算された骨,預覽計算的骨骼,预览计算的骨骼,Podgląd Obliczone kości,
DLG_ModLockShowModifierList,357,Show Modifier List,모디파이어 리스트 보이기,Afficher la liste des modificateurs,Modifikatorliste anzeigen,Mostrar lista de modificadores,Mostra elenco modificatori,Vis modifikatorliste,修飾子リスト,顯示修飾符列表,显示修饰符列表,Pokaż listę modyfikatorów,
DLG_ModLockPreviewColor,358,Preview Color,미리보기 색상,Couleur d'aperçu,Vorschau Farbe,Vista previa del color,Anteprima colore,Forhåndsvis farve,プレビューカラー,預覽顏色,预览颜色,Podgląd koloru,
DLG_ModLockBonePreviewColor,359,Bone Preview Color,본 미리보기 색상,Aperçu Couleur des os,Bone Vorschau Farbe,Vista previa de hueso,Colore delle ossa,Farve af knogler,骨のプレビューカラー,骨頭預覽顏色,骨头预览颜色,Kolor podglądu kości,
DLG_ModLockRestoreSettings,360,Restore Settings,기본값으로 복원,Restaurer les paramètres,Einstellungen zurücksetzen,Restaurar configuracion,Ripristina impostazioni,Gendan indstillinger,復元設定,還原設置,还原设置,Przywróć ustawienia,
DLG_RemoveItemChangedWarning,361,The following items may be changed.,다음의 항목들이 변경될 수 있습니다.,Les éléments suivants peuvent être modifiés.,Die folgenden Elemente können geändert werden.,Los siguientes artículos pueden ser cambiados.,I seguenti articoli possono essere cambiati.,Følgende punkter kan ændres.,以下の項目は変更されることがあります。,以下項目可能會更改。,以下项目可能会更改。,Poniższe elementy mogą zostać zmienione.,
RemoveBone_Title,362,Remove Bone,본 삭제,Enlever l'os,Knochen entfernen,Eliminar hueso,Rimuovi l'osso,Fjern benet,骨を取り除く,去除骨頭,去除骨头,Usuń kość,
RemoveBone_Body,363,Do you want to remove Bone [{0}]?,본 [{0}]을 삭제하시겠습니까?,Voulez-vous supprimer l'os [{0}]?,Möchten Sie Knochen entfernen [{0}]?,¿Quieres eliminar el hueso [{0}]?,Vuoi rimuovere l'osso [{0}]?,Vil du fjerne benet [{0}]?,骨[{0}]を削除しますか？,你想刪除骨骼[{0}]嗎？,你想删除骨骼[{0}]吗？,Czy chcesz usunąć kość [{0}]?,
RemoveBone_RemoveAllChildren,364,Remove with all children,자식 본들도 함께 삭제,Supprimer avec tous les enfants,Entfernen Sie mit allen Kindern,Eliminar con todos los niños,Rimuovi con tutti i bambini,Fjern med alle børn,すべての子と一緒に削除,和所有的孩子一起去除,和所有的孩子一起去除,Usuń ze wszystkimi dziećmi,
DLG_CaptureIsPhysics,365,Physics enabled,물리 효과,Physique activée,Physik aktiviert,Física habilitada,Fisica abilitata,Fysik aktiveret,物理学を有効にする,物理啟用,物理启用,Włączona fizyka,
DLG_PrefabDisconn_Title,366,Prefab disconnected,프리팹 연결 해제,Prefab déconnecté,Prefab getrennt,Prefab desconectado,Prefab disconnesso,Prefab afbrydes,[u]Prefab[u]が切断されました,“Prefab”斷開,“Prefab”断开,Prefab odłączony,
DLG_PrefabDisconn_Body,367,The object edited in AnyPortrait is disconnected from the [u]Prefab[u].[]Please reconnect after editing is finished.,AnyPortrait에서 편집되는 대상은 프리팹 상태에서 해제됩니다. 편집이 모두 끝난 후 다시 연결해주시길 바랍니다.,L'objet édité dans AnyPortrait est déconnecté du Prefab.[]Veuillez vous reconnecter après l'édition est terminée.,Das in AnyPortrait bearbeitete Objekt wird vom Prefab getrennt.[]Bitte verbinden Sie sich nach Abschluss der Bearbeitung wieder.,El objeto editado en AnyPortrait está desconectado del Prefab.[]Por favor vuelva a conectar después de que termine la edición.,L'oggetto modificato in AnyPortrait è disconnesso da Prefab.[]Ricollegarsi dopo aver completato la modifica.,Objektet[c] der er redigeret i AnyPortrait[c] er afbrudt fra Prefab.[]Venligst tilslut igen[c] når redigering er færdig.,AnyPortraitで編集されたオブジェクトは[c] [u]Prefab[u]から切断されます。編集が終了したら[c]再接続してください。,AnyPortrait中編輯的對象與“Prefab”斷開連接。[]編輯完成後請重新連接。,AnyPortrait中编辑的对象与“Prefab”断开连接。[]编辑完成后请重新连接。,Obiekt edytowany w AnyPortrait jest odłączony od [u]Prefab[u].[]Połącz ponownie po zakończeniu edycji.,
